,Des'n,H_x,G,Epoch,M,Peri.,Node,Incl.,e,n,a,propa,da,prope,de,propsini,dsini,g,s,H_y,NumOpps
53,00054,7.99,0.15,K239D,11.23686,345.29688,313.22981,11.79695,0.1967055,0.22085194,2.7106196,2.710485,6.1e-06,0.188556,3.1e-05,0.211356,6e-06,47.433126,-60.075986,7.99,63
54,00055,7.87,0.15,K239D,344.94027,5.47288,10.36362,7.18122,0.144397,0.21503306,2.7593019,2.759692,2.3e-06,0.106382,8.5e-05,0.122178,5.4e-05,57.850575,-59.906534,7.87,70
55,00056,8.58,0.15,K239D,263.64183,104.92717,192.94049,8.08195,0.2373382,0.23547301,2.5972193,2.597965,3.3e-06,0.211051,0.00011,0.152797,6.8e-05,48.60591,-57.95004,8.58,68
56,00057,7.02,0.15,K239D,64.80337,210.63216,198.89665,15.23678,0.1086173,0.1760376,3.1530613,3.153942,8.1e-06,0.097202,1.1e-05,0.265206,1.6e-05,90.503065,-74.662724,7.02,95
57,00058,9.07,0.15,K239D,290.47316,34.11996,161.06232,5.07263,0.045099,0.2223297,2.6985951,2.699978,4.5e-07,0.084676,6.3e-05,0.082154,2.3e-05,56.607148,-56.024701,9.07,76
58,00059,8.16,0.15,K239D,152.18712,210.92753,169.93168,8.64881,0.1170864,0.2204597,2.7138338,2.713337,5.1e-07,0.071886,0.0016,0.145311,0.0001,53.222708,-54.85209,8.16,78
59,00060,8.65,0.15,K239D,274.98957,270.91589,191.53941,3.60123,0.1850391,0.26634921,2.3924072,2.39314,0.00012,0.202083,5e-05,0.071667,0.00013,39.826789,-46.567283,8.65,73
60,00061,7.79,0.15,K239D,217.65163,12.82007,333.56906,18.20526,0.1643588,0.19103138,2.985838,2.984278,6.2e-05,0.151348,4.2e-05,0.311364,9.1e-06,44.367626,-65.514325,7.79,70
61,00062,8.97,0.15,K239D,163.46189,277.53438,125.11596,2.23641,0.1681499,0.17792458,3.1307286,3.121692,7.9e-07,0.149828,1.6e-05,0.022525,2.6e-06,124.039707,-100.892357,8.97,76
62,00063,7.13,0.15,K239D,205.07859,295.8569,337.69331,5.77403,0.1282493,0.26608213,2.3940079,2.395162,5.7e-07,0.120679,2.5e-05,0.108422,4.9e-05,38.241487,-41.777917,7.13,76
63,00064,7.8,0.15,K239D,35.48881,180.92514,308.98776,1.30555,0.1259865,0.22450589,2.681128,2.681357,2.6e-05,0.152264,1.8e-05,0.039795,0.00014,57.372045,-60.188142,7.8,77
64,00065,6.87,0.15,K239D,148.16436,103.36366,155.3677,3.55903,0.1222058,0.15544391,3.4257334,3.425839,6.2e-05,0.133942,5.3e-05,0.054565,1.7e-06,205.181015,-174.075739,6.87,96
65,00066,9.55,0.15,K239D,26.17421,43.33554,7.48608,3.04437,0.1726534,0.22902847,2.6457151,2.645967,2.3e-07,0.143937,7.7e-05,0.05606,9.7e-05,54.91603,-57.015808,9.55,67
66,00067,8.42,0.15,K239D,336.85769,107.0986,202.38858,6.02937,0.1844652,0.26151578,2.4217954,2.420904,3.2e-07,0.153672,0.00069,0.115525,1.7e-05,39.191204,-44.380181,8.42,66
67,00068,6.9,0.15,K239D,240.97338,304.75391,44.05503,7.96135,0.1847114,0.21221226,2.7836998,2.782079,6.1e-07,0.148419,3.7e-05,0.127671,1.4e-05,59.240487,-64.710578,6.9,89
68,00069,7.24,0.15,K239D,248.8231,288.69009,184.98609,8.59293,0.169982,0.19198934,2.9758975,2.979592,7.7e-06,0.181714,0.00034,0.15499,2.5e-05,76.054909,-85.071724,7.24,81
69,00070,8.23,0.15,K239D,82.70822,255.76944,47.65338,11.59822,0.1815314,0.23279756,2.6170806,2.61544,0.00034,0.153657,0.00048,0.193893,3.6e-05,45.157846,-52.293305,8.23,68
70,00071,7.26,0.15,K239D,248.57928,267.09639,315.9159,23.24417,0.1765321,0.2157085,2.7535388,2.7552,9.4e-06,0.163452,0.0032,0.419338,3.5e-05,16.12619,-45.529336,7.26,66
